source,target,follower_count
715901816857358336,1042040178804752385,1
715901816857358336,1244018594712821762,22
715901816857358336,1579759950632349702,2
715901816857358336,1581884563164479488,13
715901816857358336,1391731988759924737,73
715901816857358336,1519096123285291008,213
715901816857358336,1075853168284758016,0
715901816857358336,1329226349022687233,4
715901816857358336,1373904430861586436,66
715901816857358336,1518807973946036224,4
715901816857358336,3379023213,94
715901816857358336,37839648,2
715901816857358336,1056459883720175616,984
715901816857358336,1581680241961238529,2
715901816857358336,1328344882046410752,645
715901816857358336,1566654067887456258,1
715901816857358336,339800844,1161
715901816857358336,1573106332063907840,306
715901816857358336,1501607051201597440,136
715901816857358336,1571329099003461632,14
715901816857358336,597013263,0
715901816857358336,1019620495,5
715901816857358336,1579099097331511299,0
715901816857358336,1367898878872272899,4
715901816857358336,1581114115304873985,2
715901816857358336,1455708341200506881,3
715901816857358336,1428440566472249353,22
715901816857358336,1101361716036800512,17
715901816857358336,1037180784,148
715901816857358336,806457172448124929,54
715901816857358336,1580634979326840832,2
715901816857358336,1394121248,507
715901816857358336,2496568187,733
715901816857358336,1467324879196151808,2
715901816857358336,1526273916611592193,308
715901816857358336,1570753146548355075,38
715901816857358336,1345065148252303366,31
715901816857358336,1575874443934433280,22
715901816857358336,4705538994,357
715901816857358336,221370308,22302
715901816857358336,878954484193480706,22
715901816857358336,2254476036,1
715901816857358336,968098980,21
715901816857358336,1577638864910680066,72
715901816857358336,905688027049017345,0
715901816857358336,1313290518332354560,784
715901816857358336,24677898,778
715901816857358336,1093836069727100928,0
715901816857358336,1309355742458032128,0
715901816857358336,1552790074089144320,257
715901816857358336,1580923025490432000,3
715901816857358336,871286125549068288,22
715901816857358336,1468636211573305344,0
715901816857358336,1166061492833259521,443
715901816857358336,896431504619917312,1193
715901816857358336,1489677399419756545,68
715901816857358336,1450779609482424323,9
715901816857358336,1180339542,21
715901816857358336,1580757588454436871,0
715901816857358336,1417876437839880197,115
715901816857358336,1578759445101907969,33
715901816857358336,1579944978993893377,55
715901816857358336,12381572,2047
715901816857358336,40345541,70
715901816857358336,1448110292,96
715901816857358336,2349128279,6107
715901816857358336,820719467974062080,4
715901816857358336,3396544647,72
715901816857358336,915611651860160512,0
715901816857358336,843837573281865729,64
715901816857358336,3319528500,233
715901816857358336,85596428,161
715901816857358336,1579514163004571649,0
715901816857358336,279104016,314
715901816857358336,66950543,7
715901816857358336,738818643820171265,537
715901816857358336,2502536640,93
715901816857358336,1578582151896961025,8
715901816857358336,775711217423753216,47
715901816857358336,1156615417256767488,3
715901816857358336,1580458781443764224,9
715901816857358336,1577205190125654018,20
715901816857358336,1361200824882356224,17
715901816857358336,1579063563481747457,7
715901816857358336,2360463809,100
715901816857358336,903625213954318340,3
715901816857358336,69319218,1205
715901816857358336,1563277974,1507
715901816857358336,1342166263049691137,1
715901816857358336,1497107559869825067,1
715901816857358336,1580275696110342156,2
715901816857358336,74042143,316
715901816857358336,1260514195,7788
715901816857358336,935236456163012613,38
715901816857358336,817385712,5
715901816857358336,940553591139467264,411
715901816857358336,1411162599417331713,70
715901816857358336,1394213306529828866,1
715901816857358336,1107477153900359680,26
715901816857358336,940924670169280512,189
715901816857358336,1534278611020267520,7
715901816857358336,150477504,763
715901816857358336,1567195948316598275,27
715901816857358336,1580160041767813124,0
715901816857358336,871956768,36
715901816857358336,152866783,103
715901816857358336,1236569067818897411,35
715901816857358336,843049857761841152,580
715901816857358336,116776271,2159
715901816857358336,1579882030539673601,1
715901816857358336,108234245,148
715901816857358336,1572760835445133313,667
715901816857358336,1518333486192463872,87
715901816857358336,1573345441328107522,15
715901816857358336,1573126670101270529,0
715901816857358336,1541492776868761600,194
715901816857358336,453684539,209
715901816857358336,458724024,64
715901816857358336,2987944868,51
715901816857358336,1325524789293953030,126
715901816857358336,167346371,121
715901816857358336,1482336309733736449,4
715901816857358336,231582201,166
715901816857358336,1565699798744723457,6
