index,Id,degree,group
730,2420848054,10,0
731,2584026565,10,3
732,822567864259510272,10,2
733,1349201788663169024,10,3
734,246658516,10,1
735,2562852312,10,0
736,1026124323046604801,10,1
737,480748803,10,1
738,1037662144190398475,10,3
739,47457851,10,1
740,976670801469558784,10,3
741,963938566068998145,10,2
742,346017345,10,2
743,66360919,10,1
744,868249787195301888,10,3
745,1266475094622326784,10,1
746,1317940454084825088,10,1
747,1204256768534040576,10,3
748,340364935,10,2
749,886730561015959553,10,3
750,1303133549709598721,10,1
751,1688,10,2
752,73537202,10,2
753,247353023,10,3
754,477288141,10,1
755,3311302353,10,0
756,18448119,10,2
757,1195371849821118466,10,0
758,1163061822246871042,10,1
759,886060860,10,3
760,991541053,10,2
761,974912695307825152,10,3
762,805650992603820032,10,3
763,1338867965001789440,10,1
764,977912922084012032,10,3
765,32671625,10,2
766,1243697810966376449,10,1
767,611942280,10,1
768,70444945,10,3
769,1351328967672918020,10,1
770,32522177,10,3
771,318754754,10,3
772,842432472,10,2
773,20002777,10,1
774,62633946,10,1
