,Id,degree,group
580,272576241,11,3
581,1.18843E+18,11,3
582,226635545,11,3
583,21712671,11,0
584,16801580,11,0
585,343713611,11,0
586,801611629,11,4
587,838938482,11,3
588,2768271223,11,0
589,9.86444E+17,11,0
590,1.33973E+18,11,3
591,700250047,11,4
592,731648778,11,3
593,2362712023,11,4
594,7.96228E+17,10,4
595,19357729,10,0
596,1.26942E+18,10,3
597,1.07739E+18,10,4
598,2869858477,10,0
599,16074930,10,4
600,1.1393E+18,10,0
601,1.20044E+18,10,4
602,1.07107E+18,10,3
603,25028835,10,4
604,1.0949E+18,10,3
605,3279945986,10,0
606,7.92558E+17,10,3
607,258134278,10,4
608,1.2985E+18,10,3
609,1.16974E+18,10,4
610,1.26801E+18,10,4
611,1600678208,10,0
612,226822479,10,3
613,3166099586,10,3
614,188987733,10,4
615,1573683554,10,4
616,344633710,10,3
617,1433330034,10,0
618,1.28704E+18,10,1
619,102549878,10,3
620,521578875,10,4
621,1.34009E+18,10,3
622,1.33197E+18,10,3
623,8.27537E+17,10,3
624,1.32077E+18,10,3
625,35043727,10,3
626,785209740,10,0
627,1.27834E+18,10,3
628,1680691602,10,4
629,74908051,10,3
630,1.21866E+18,10,3
631,4218124714,10,0
632,122876339,10,4
633,1.24916E+18,10,4
634,1.28378E+18,10,3
635,1585846729,10,3
636,1.18538E+18,10,0
637,225225182,10,0
638,253178338,10,0
639,1.02645E+18,10,4
640,9.48603E+17,10,0
641,24603783,10,3
642,266701328,10,4
643,17701397,10,0
644,32539175,10,3
645,2316399164,10,4
646,711031364,10,4
647,247947877,10,0
648,1.44189E+18,10,3
649,7.37832E+17,10,4
650,7.11282E+17,10,0
651,1.0058E+18,10,0
652,7.34048E+17,10,4
653,2187057823,10,0
654,341467812,10,4
655,273769128,10,3
656,2476270256,10,3
657,357292724,10,4
658,101483190,10,3
659,899044056,10,0
660,4193112797,10,3
661,7.75107E+17,10,0
662,1.35679E+18,10,0
663,7.35671E+17,10,0
664,493775634,10,4
665,316449565,10,0
666,1.08243E+18,10,3
667,4061092694,10,3
668,8.56007E+17,10,4
669,8.48186E+17,10,3
670,9.12384E+17,10,3
671,1.08881E+18,10,0
672,21717987,10,4
673,1354431487,10,3
674,8.97647E+17,10,0
675,8.19876E+17,10,3
676,1.15175E+18,10,3
677,1.23722E+18,10,3
678,3097390120,10,3
679,1.31394E+18,10,3
680,1.09043E+18,10,0
681,1.08886E+18,10,0
682,1.30931E+18,10,3
683,9.30019E+17,10,3
684,8.36975E+17,10,3
685,398201923,10,4
686,1.20727E+18,10,4
687,19360844,10,4
688,3074470992,10,4
689,258956383,10,1
690,80706659,10,4
691,9.092E+17,10,0
692,1.29008E+18,10,3
693,8.91101E+17,10,1
694,1.28161E+18,10,4
695,7.63543E+17,10,0
696,7.24013E+17,10,0
697,1.04868E+18,10,0
698,1.10555E+18,10,0
699,1.29628E+18,10,3
700,1.26605E+18,10,3
701,3082546368,10,4
702,53220544,10,3
703,378082521,10,0
704,2372930780,10,4
705,8.77239E+17,10,1
706,1.28155E+18,10,4
707,7.76244E+17,10,0
708,8.05965E+17,10,0
709,866219268,10,3
710,7.36677E+17,10,3
711,7.07341E+17,10,1
712,1242991880,10,1
713,352103699,10,4
714,1.4195E+18,10,3
715,1.17914E+18,10,3
716,31212830,10,3
717,16549200,10,4
718,373902676,10,3
719,9.57113E+17,10,4
720,1.24865E+18,10,3
721,524752250,10,0
