,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
351,paulwanggva,2020-03-26 23:29:56+00:00,9,Twitter Web App,"#covidー19 #coronavirus 
CALL FOR #SOLIDARITY #hackathon to fight #covid19 #CodeVsCOVID19. We need YOU talents directly and indirectly involved especially #Taiwan #China #HongKong #Japan #Singapore #Korea  
#TOGETHERWECAN WIN
https://t.co/FaZBYeKlTz
@ICON_ONG @drannehuang @ndwang",Positive
352,schooolhacks,2020-03-18 05:39:24+00:00,0,Twitter Web App,"@Austen Love the idea! NuevaHacks would love to collaborate in any way with @LambdaSchool - we are launching a week-long hackathon for students across the globe. Students from countries including Jordan, Singapore, India, Togo, China, and the United States participating with us",Positive
353,misskhan,2020-03-11 22:22:51+00:00,1,Twitter for iPad,"So @ETHLondon hosted a Hackathon ft @VitalikButerin @ethereumJoseph  #coronavirusuk 1 #singapore visitor diagnosed +ve #COVID19 @ETHLondonUK 28feb
#ETHLondon provide name, timings attendance,symptoms start, so others can contact trace &amp;self-quarantine @PHE_uk @NHSuk @RoyalFreeNHS",Neutral
354,mitchelafrica,2020-03-11 12:57:31+00:00,5,Twitter for iPhone,And my first speaking engagement was with @edutech_asia two years ago. In Singapore and then Philippines. This conference helped me get connected with educators and edtech leaders. What’s best is I got to bring my ss to join the Hackathon Challenge. #edutechmeets,Positive
355,bryonycole,2020-02-19 23:25:37+00:00,21,Twitter for iPhone,"After Sydney, Singapore &amp; NYC...the Melbourne #Sextech Hackathon! Our 4th hack and best yet @servantofchaos @joannejacobs @DisruptorsCo 🙌 Not possible without the believers @Lovehoney @AssemblyFour &amp; Jonny! @CreativeCubesCo your space was the perfect playground 🥰 #sextechmelb https://t.co/1zKL8V2fbc",Positive
356,xtrycatchblockx,2020-02-18 06:22:39+00:00,2,Twitter for iPhone,"Hi @TourismPHL, I’m a filipino software engineer based in Singapore 🇸🇬 and recently had won a hackathon last December in Paris France 🇫🇷 Our solution involves helping the tourist x tourism sector of a country. Would you be interested if we could pitch the idea to you?",Positive
357,kazumasaikuta,2020-02-15 12:03:45+00:00,6,TweetDeck,"I find DesignThinking framework worked very well for Ideathon/Hackathon in Tokyo last week! We tried to apply what I learned with @real_JeffWang and @cmlccie in Bangalore, Singapore, and China. #devnethackathon #WeAreCisco #devnet #CiscoSE",Positive
358,pydatasg,2020-02-11 07:05:23+00:00,1,Twitter Web App,"In light of the Singapore Government’s move to raise the DORSCON level for the Novel Coronavirus to Orange, its advised to cancel or defer large-scale events. Therefore, we regret to inform you that Shopee Ultra-Hackathon 2020 has been postponed until further notice.",Negative
359,thevrara,2020-02-07 23:33:22+00:00,0,Squarespace,DELL Augmented Hackathon in Singapore.  Win $25K!   Submissions close 17 Feb 2020 @DellEMC @DellTech @vrara_singapore    https://t.co/uTUqb48rwj,Positive
360,LisaSchrdr,2020-02-06 06:44:23+00:00,1,Twitter for iPhone,@DanielDiemers @sixgroup @F10_accelerator @fintechrockers @dgt_switzerland @Landis34 @pouderi @carlabuenger @cedi2611 @rinoborini @Salz_Er @efipm @ndwr @UrsBolt @MarcLussy @marcpbernegger So sad this will be the first F10 Hackathon I will not be part of - but I see we have top notch support!! Will be rooting from Singapore 👏,Positive
